time,/jointset/groundPelvis/pelvis_tilt/value,/jointset/groundPelvis/pelvis_tx/value,/jointset/groundPelvis/pelvis_ty/value,/jointset/hip_l/hip_flexion_l/value,/jointset/hip_r/hip_flexion_r/value,/jointset/lumbar/lumbar/value,/jointset/knee_l/knee_angle_l/value,/jointset/knee_r/knee_angle_r/value,/jointset/ankle_l/ankle_angle_l/value,/jointset/ankle_r/ankle_angle_r/value,/jointset/groundPelvis/pelvis_tilt/speed,/jointset/groundPelvis/pelvis_tx/speed,/jointset/groundPelvis/pelvis_ty/speed,/jointset/hip_l/hip_flexion_l/speed,/jointset/hip_r/hip_flexion_r/speed,/jointset/lumbar/lumbar/speed,/jointset/knee_l/knee_angle_l/speed,/jointset/knee_r/knee_angle_r/speed,/jointset/ankle_l/ankle_angle_l/speed,/jointset/ankle_r/ankle_angle_r/speed,/hamstrings_r/activation,/bifemsh_r/activation,/glut_max_r/activation,/iliopsoas_r/activation,/rect_fem_r/activation,/vasti_r/activation,/gastroc_r/activation,/soleus_r/activation,/tib_ant_r/activation,/hamstrings_l/activation,/bifemsh_l/activation,/glut_max_l/activation,/iliopsoas_l/activation,/rect_fem_l/activation,/vasti_l/activation,/gastroc_l/activation,/soleus_l/activation,/tib_ant_l/activation,/lumbarAct,/hamstrings_r,/bifemsh_r,/glut_max_r,/iliopsoas_r,/rect_fem_r,/vasti_r,/gastroc_r,/soleus_r,/tib_ant_r,/hamstrings_l,/bifemsh_l,/glut_max_l,/iliopsoas_l,/rect_fem_l,/vasti_l,/gastroc_l,/soleus_l,/tib_ant_l
0.673065585,0.057394125,1.036560147,0.897329388,-0.051324522,0.079964267,-0.13962634,-0.011854216,-1.163917625,0.186929279,-0.283319628,-0.262323515,0.968396966,-0.038494583,-1.182058465,3.540284195,2.56E-06,0.52680305,-3.530945294,0.764679038,-0.666921992,0.012188696,0.095231629,0.010024854,0.153503956,0.072212742,0.010022643,0.06131027,0.010940143,0.038744922,0.056767069,0.023321663,0.035615147,0.010755738,0.010848956,0.015489436,0.010058671,0.010027224,0.13875065,-0.007142744,0.011794058,0.098406738,0.010024541,0.152899993,0.076462548,0.010023611,0.059033921,0.010854962,0.036189879,0.057620991,0.029240111,0.021965726,0.01122911,0.010406217,0.010185404,0.010067263,0.010028657,0.133604637
0.678088463,0.056061439,1.041415313,0.897117148,-0.057097351,0.097793659,-0.13962634,-0.00947655,-1.181219799,0.190823829,-0.286659904,-0.268149408,0.964921782,-0.045924532,-1.117022655,3.558300156,-1.77E-06,0.42015373,-3.357805339,0.787163605,-0.662834974,0.012055931,0.096106595,0.010024763,0.153307259,0.073461359,0.010022996,0.060601351,0.010921684,0.037943185,0.057041169,0.025224536,0.0312612,0.011054881,0.010716837,0.013946867,0.01006152,0.010027648,0.137385706,-0.004162835,0.011679606,0.099037556,0.010024549,0.152398819,0.077532026,0.010024063,0.058274442,0.010897135,0.035535961,0.057952353,0.030686528,0.018249215,0.012274466,0.01039012,0.010167153,0.010069398,0.010028681,0.132275445
0.68311134,0.054702111,1.046254504,0.896868953,-0.06255036,0.115703055,-0.13962634,-0.0076316,-1.197643284,0.194848179,-0.289975385,-0.272931792,0.962036456,-0.052811436,-1.054714504,3.572140743,4.39E-06,0.314689567,-3.181071574,0.816366178,-0.657047132,0.011928513,0.096919054,0.010024702,0.153041147,0.074660472,0.010023379,0.059878082,0.010921102,0.037181401,0.057330149,0.026988409,0.027047541,0.011573646,0.010618911,0.012846558,0.010064157,0.010027953,0.136026501,-0.001182927,0.011565153,0.099668374,0.010024557,0.151897644,0.078601503,0.010024514,0.057514962,0.010939309,0.034882043,0.058283715,0.032132945,0.014532704,0.013319821,0.010374023,0.010148903,0.010071533,0.010028704,0.130946254
0.688134218,0.053321461,1.051080702,0.896587542,-0.067697208,0.133670951,-0.13962634,-0.006313874,-1.213169677,0.199035264,-0.293260056,-0.276641156,0.959748125,-0.059150674,-0.995063793,3.581549076,-2.30E-06,0.210188184,-3.000495188,0.850875773,-0.652588085,0.011807371,0.097615661,0.010024679,0.152739201,0.075762769,0.01002379,0.059157689,0.010944264,0.036317113,0.057669362,0.028541346,0.02332602,0.012634089,0.010545095,0.012058348,0.010066936,0.01002829,0.13446857,0.003571691,0.011467399,0.099757833,0.010024687,0.151572928,0.07921688,0.010025025,0.056851723,0.011055424,0.033326595,0.058893221,0.032804468,0.01341569,0.016911953,0.010360527,0.010140976,0.010075535,0.01002946,0.127954452
0.693157095,0.051924778,1.055896891,0.896275648,-0.072550496,0.151674924,-0.13962634,-0.005518628,-1.227778378,0.203396167,-0.296548569,-0.279315231,0.9580511,-0.064948915,-0.937825715,3.586507377,4.64E-06,0.106650384,-2.815668478,0.885577528,-0.658574093,0.011693084,0.098159796,0.010024702,0.152428887,0.076737289,0.010024231,0.058451641,0.010994831,0.035257759,0.058082389,0.02983795,0.020327076,0.014434703,0.01048907,0.011498517,0.010070076,0.010028751,0.132567731,0.008326308,0.011369645,0.099847292,0.010024817,0.151248213,0.079832257,0.010025535,0.056188483,0.011171539,0.031771146,0.059502727,0.03347599,0.012298676,0.020504085,0.01034703,0.01013305,0.010079536,0.010030217,0.124962651
0.698179973,0.050517283,1.060706025,0.895935974,-0.0771219,0.169692533,-0.13962634,-0.005241533,-1.241447364,0.207928163,-0.29990912,-0.28095652,0.956935045,-0.070219242,-0.882712494,3.586988957,-1.96E-06,0.00371987,-2.626191115,0.918666611,-0.684645203,0.011580887,0.098592427,0.010024754,0.152095689,0.077654763,0.010024697,0.057767669,0.011101421,0.033883967,0.058473725,0.03096612,0.017938363,0.016729557,0.010446388,0.011098592,0.010073812,0.010029396,0.130273231,0.011539348,0.011254513,0.099946355,0.010024935,0.150732505,0.080714233,0.010026076,0.055609169,0.011528919,0.029017362,0.059583038,0.03421099,0.011774749,0.024015425,0.010340138,0.010129336,0.010085789,0.010031616,0.120898818
0.70320285,0.049103995,1.065510974,0.895571083,-0.08142085,0.187701534,-0.13962634,-0.00548133,-1.25415198,0.212621834,-0.303477753,-0.281621758,0.956384441,-0.074989772,-0.829340725,3.58307991,3.03E-06,-0.099163495,-2.43167719,0.949949246,-0.741424945,0.011467796,0.098941354,0.010024825,0.151721774,0.078561225,0.010025185,0.057110977,0.011281892,0.03211767,0.058779225,0.031980616,0.016081401,0.019365441,0.010414267,0.010815153,0.010078292,0.010030264,0.127548756,0.014752388,0.011139382,0.100045418,0.010025054,0.150216798,0.081596208,0.010026617,0.055029855,0.011886298,0.026263578,0.059663348,0.03494599,0.011250822,0.027526766,0.010333246,0.010125623,0.010092041,0.010033014,0.116834985
0.708225728,0.047689815,1.070314561,0.895183432,-0.085455595,0.205679586,-0.13962634,-0.006238649,-1.265866813,0.217467563,-0.307411455,-0.281314203,0.956391364,-0.079297949,-0.777396851,3.57449729,-8.14E-07,-0.202557006,-2.232319188,0.979189485,-0.824609675,0.011351225,0.09923449,0.010024919,0.151269283,0.079426106,0.010025698,0.056462542,0.011493471,0.030392562,0.059003578,0.03293682,0.014645096,0.022262354,0.010389582,0.010612853,0.010084267,0.01003139,0.12434128,0.01525748,0.011005589,0.100191533,0.010025229,0.14932275,0.082231473,0.01002722,0.054367863,0.012113129,0.02570106,0.059595339,0.035822067,0.011015382,0.031228536,0.010327133,0.01012317,0.010104673,0.010035092,0.111525443
0.713248605,0.046279588,1.075119584,0.894775155,-0.089232067,0.223600963,-0.13962634,-0.007518365,-1.276571238,0.222455349,-0.311758789,-0.280047968,0.956956831,-0.083202588,-0.72650175,3.560512951,1.76E-07,-0.307171694,-2.02935463,1.006511265,-0.906123443,0.011229554,0.099490758,0.010025037,0.150714948,0.080229639,0.010026237,0.055809607,0.011709446,0.028991008,0.059150275,0.033869364,0.013556303,0.025371952,0.010370378,0.010469441,0.010092209,0.010032798,0.120612416,0.015762572,0.010871797,0.100337647,0.010025405,0.148428702,0.082866739,0.010027824,0.053705872,0.01233996,0.025138542,0.059527331,0.036698144,0.010779942,0.034930307,0.01032102,0.010120718,0.010117306,0.01003717,0.106215901
0.718271483,0.044878119,1.079928846,0.894348187,-0.092754905,0.241437452,-0.13962634,-0.009327722,-1.286249074,0.227574455,-0.316470488,-0.277835205,0.958074628,-0.086757831,-0.676285911,3.540569895,5.73E-07,-0.413629777,-1.823864529,1.0312058,-0.964350449,0.011102987,0.099696239,0.010025201,0.150152489,0.080999493,0.010026816,0.055112697,0.011880584,0.027920139,0.05924397,0.0348296,0.01273131,0.028534473,0.010354333,0.010366721,0.010102069,0.010034795,0.116216774,0.011874392,0.010729175,0.1003022,0.010025768,0.148120209,0.083578166,0.010028563,0.0527528,0.012254351,0.025248985,0.059481683,0.037877549,0.010673701,0.037999539,0.010310753,0.010117252,0.010133553,0.010041817,0.09878301
