#{"t_start": 1629141151.5931082, "env_id": 0}
r,l,t
2.850907,60,7663.060847
2.829456,60,7677.36319
2.690633,60,7687.490772
3.052715,60,7701.424774
3.021957,60,7711.163015
1.178131,60,7725.052635
3.647739,60,7734.881297
2.952819,60,7744.890356
3.917004,60,7759.293846
3.554604,60,7769.71164
2.695318,60,7784.163652
2.985204,60,7793.989185
3.278539,60,7808.13183
3.375752,60,7818.140587
3.488913,60,7832.759865
3.967675,60,7842.589882
2.915266,60,7856.60579
2.290384,60,7866.694676
2.818081,60,7880.892502
1.73222,60,7891.605701
1.411004,60,7905.634248
3.559751,60,7916.188624
3.205034,60,7926.814938
3.30442,60,7940.715417
0.297037,60,7950.653064
3.703107,60,7965.419845
3.880019,60,7975.129802
3.450769,60,7989.71644
3.276882,60,8000.090831
1.436455,60,8014.156342
2.477442,60,8024.692126
2.326379,60,8039.013257
3.016957,60,8048.57007
2.570242,60,8062.725705
3.574182,60,8073.334906
3.041569,60,8087.170348
2.733421,60,8097.292855
2.962653,60,8111.623769
2.149839,60,8121.825516
3.43847,60,8131.739348
3.550041,60,8146.384796
2.691005,60,8155.62273
2.728513,60,8170.234799
3.588359,60,8180.749318
0.472433,60,8194.959922
2.497378,60,8205.520915
3.172501,60,8220.00564
3.680539,60,8230.108145
2.744561,60,8244.975939
2.585331,60,8255.020096
3.151136,60,8269.39483
2.331397,60,8279.288771
3.127395,60,8293.940323
2.855432,60,8305.205117
3.176645,60,8316.105661
3.212937,60,8330.152609
3.285043,60,8340.47337
3.161605,60,8355.15482
2.745844,60,8365.341135
3.111222,60,8379.511875
3.218129,60,8389.54698
3.522202,60,8403.993988
3.824823,60,8414.80852
3.606307,60,8429.312754
3.004156,60,8439.874763
0.453253,60,8454.028975
3.751187,60,8464.968777
3.198685,60,8479.556767
3.361831,60,8489.565361
0.732884,60,8503.885092
3.491355,60,8513.989659
-4.591913,60,8523.591674
3.753392,60,8538.558074
1.597552,60,8549.063989
2.353826,60,8563.5585
3.369684,60,8574.656005
2.553696,60,8589.417235
3.085083,60,8599.870219
2.674096,60,8614.886642
1.652454,60,8625.498994
3.374375,60,8640.529998
3.380165,60,8651.380588
2.484039,60,8665.590066
2.001988,60,8675.850027
2.506604,60,8691.264124
1.605356,60,8701.033828
3.52555,60,8711.187125
3.594382,60,8725.828225
3.096162,60,8735.900244
3.321319,60,8751.647671
3.837926,60,8762.633048
2.505918,60,8777.872182
2.776176,60,8787.860313
2.916933,60,8802.741441
3.180255,60,8813.726276
3.87461,60,8828.600161
2.925302,60,8838.674142
1.757708,60,8853.725219
3.303996,60,8863.884127
3.783767,60,8879.4912
1.916675,60,8889.698517
3.719047,60,8904.987909
2.900689,60,8915.065258
3.154833,60,8925.046645
3.523239,60,8939.949551
3.403353,60,8950.634161
3.821149,60,8965.392479
2.652291,60,8975.801746
3.68641,60,8990.90769
3.340829,60,9001.548681
2.221161,60,9016.977273
3.260954,60,9027.567768
2.421242,60,9042.297251
3.284546,60,9052.595559
3.338973,60,9068.104742
3.024461,60,9078.85134
4.178205,60,9093.542832
3.389365,60,9103.368472
2.714071,60,9113.936666
3.296078,60,9128.380028
3.257715,60,9138.644935
3.852429,60,9152.902449
3.381909,60,9163.600497
3.797229,60,9178.03741
1.977558,60,9188.218252
2.920095,60,9203.032735
3.535368,60,9213.529569
2.98821,60,9227.86413
3.162676,60,9237.770013
2.717492,60,9252.162886
2.002935,60,9262.154692
0.675609,60,9276.910545
3.592219,60,9287.67835
2.837064,60,9301.556413
2.214885,60,9311.980169
3.116713,60,9321.81917
1.648671,60,9336.092465
2.741293,60,9346.842332
3.535634,60,9361.702879
3.72791,60,9371.864264
3.036584,60,9386.945799
2.300499,60,9396.849255
4.046274,60,9411.046543
3.723071,60,9421.25329
2.84956,60,9435.32834
2.641585,60,9445.400767
3.144769,60,9460.443166
3.043058,60,9471.251448
3.687653,60,9486.221909
3.749018,60,9496.456328
3.461718,60,9506.67952
3.27325,60,9521.009903
1.903835,60,9531.189138
1.522863,60,9546.56026
3.116739,60,9556.443943
3.059075,60,9570.857253
3.38009,60,9581.433447
3.604558,60,9596.251872
3.420164,60,9606.736358
3.116478,60,9620.723943
2.141456,60,9630.560486
2.644207,60,9645.205842
3.187466,60,9656.236379
2.090532,60,9670.545973
3.65553,60,9680.740832
2.380741,60,9694.947438
2.236841,60,9705.015277
2.265976,60,9715.181095
3.442127,60,9729.801156
-0.455687,60,9739.785759
3.249634,60,9754.690551
3.270457,60,9764.578604
2.913879,60,9778.451284
2.567304,60,9788.816685
2.500062,60,9804.025896
2.885973,60,9814.173527
3.662329,60,9829.088615
3.804129,60,9838.828408
2.858688,60,9853.342806
2.657945,60,9863.227664
3.670343,60,9877.786236
3.123006,60,9887.907655
3.333026,60,9898.552957
3.593609,60,9913.953099
2.887158,60,9923.865388
2.095397,60,9938.130031
3.412852,60,9948.451313
2.827988,60,9963.490711
2.173882,60,9973.825103
3.136157,60,9988.010959
3.870516,60,9998.782574
2.330831,60,10013.578082
3.186634,60,10023.816635
2.80954,60,10038.400491
2.122747,60,10048.608972
1.809068,60,10063.708517
3.897438,60,10074.580291
3.284544,60,10090.195837
3.314616,60,10100.295262
2.941485,60,10110.579813
3.202642,60,10125.242531
3.692436,60,10135.840994
1.031669,60,10150.034809
3.406855,60,10161.131913
2.869642,60,10176.19639
3.578748,60,10185.971158
3.316283,60,10200.500925
2.408724,60,10210.111792
2.122079,60,10224.264917
3.04913,60,10233.961604
1.409104,60,10248.29622
2.776958,60,10258.659096
2.426,60,10273.206295
2.113813,60,10283.047561
